GLOBALID,OBJECTID,TrafficStudyID,Request Number,Traffic Study Type,Associated File,Associated File Link,Main Street Name,Street Name 2,Street Name 3,Street Name 4,Street Name 5,Civic Address,Start Date,Finish Date,Year,Equipment Type,Start Day of Week,Finish Day of Week,AM Peak,PM Peak,Off Peak,Duration,85th Percentile Speed,Warrant Points,AAWT,Add Date,Modified Date,x,y
f3f73dcd-c244-47b0-b3a2-8fa083b35973,1,TRFSDY14925,23RQ598,VOL,23VOL598.xlsx,https://files.halifax.ca/open-data/documents/traffic_studies/23VOL598.xlsx,LOCKE ST,BEDFORD HWY,END,,,6,,6/15/2023 12:00:00 AM,2023,,,,,,,24HRS,,,81,5/24/2024 2:02:44 PM,7/11/2025 12:38:08 PM,-7088042.9661,5577507.9411
67c42ad0-4b60-4911-abff-e576db157b6b,2,TRFSDY19378,23RQ912,CLS,23FHWA912.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/23FHWA912.pdf,BEDFORD HWY,MAIN AVE,JOSEPH HOWE DR,,,,10/31/2023 12:00:00 AM,11/2/2023 12:00:00 AM,,MIOVISION,,,,,,24 HRS,,,48314,6/20/2025 12:20:03 PM,7/11/2025 12:38:08 PM,-7083304.0967,5568568.6037
3d969649-339d-4bf9-8d91-05a54acbbe39,3,TRFSDY15703,24RQ241,SPD,24SPD241.xlsx,https://files.halifax.ca/open-data/documents/traffic_studies/24SPD241.xlsx,LAKECREST DR,ELMWOOD CRT,LYLEWOOD DR,,,158,4/4/2024 12:00:00 AM,4/17/2024 12:00:00 AM,2024,RADAR,,,,,,7 DAYS,60,,528,6/25/2024 6:48:02 PM,7/11/2025 12:38:08 PM,-7094364.3135,5591739.17
3dcb23f8-3bdc-4043-9ed1-4ee1b9fd634f,4,TRFSDY16498,24RQ338,SPD,24SPD338.xlsx,https://files.halifax.ca/open-data/documents/traffic_studies/24SPD338.xlsx,RALPH DEVLIN DR,PETER LOWE AVE,GEORGE DAUPHINEE AVE,,,2834,6/24/2024 12:00:00 AM,7/3/2024 12:00:00 AM,2024,RADAR,,,,,,7 DAYS,39,,165,9/18/2024 11:54:12 AM,7/11/2025 12:38:08 PM,-7081279.293,5566288.1455
f908522c-e403-4969-ab26-817ccfac25b0,5,TRFSDY21505,18RQ163,SPD,18SPD163.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/18SPD163.pdf,PORTLAND HILLS DR,SOUTHHAVEN CL,SUMMER FIELD WAY,,,521,8/22/2018 12:00:00 AM,8/30/2018 12:00:00 AM,2018,RADAR,,,,,,7 DAYS,53,,1765,10/30/2025 11:36:54 AM,10/30/2025 11:36:54 AM,-7069675.2768,5569112.693
50249556-cd07-4b0a-b1c7-e8421447b749,6,TRFSDY3941,17ATR124,VOL,17ATR124.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/17ATR124.pdf,VINCENT ST,KAYE ST,RUSSELL ST,,,,7/13/2017 12:00:00 AM,,2017,RT,,,,,,,,,373,5/7/2019 12:13:12 PM,7/11/2025 12:38:08 PM,-7079476.9005,5568772.1853
b2eda0ca-7985-495c-95bf-e0ef06ddf891,7,TRFSDY7391,19VOL162,VOL,19VOL162.xlsx,https://files.halifax.ca/open-data/documents/traffic_studies/19VOL162.xlsx,PINEHILL DR,GEORGE ST,KAYE ST,,,121,5/21/2019 3:00:00 AM,5/21/2019 3:00:00 AM,2019,RADAR,TUES,TUES,,,,7 DAYS,55,,3462,3/15/2021 4:45:51 PM,7/11/2025 12:38:08 PM,-7088336.2932,5584749.304
0a949c87-be68-49b7-ae0d-f12742dc3e4d,8,TRFSDY3810,16ATR283,VOL,16ATR283.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/16ATR283.pdf,YOUNG ST,DUBLIN ST,OXFORD ST,,,6366,7/14/2016 12:00:00 AM,,2016,RT,,,,,,,,,476,5/7/2019 12:13:12 PM,7/11/2025 12:38:08 PM,-7080912.8883,5567346.0724
c3e428d9-6f38-4bf1-95b2-c8ed1f2097fc,9,TRFSDY5427,16TM220,TMC,16TM220.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/16TM220.pdf,COLLEGE ST,SUMMER ST,,,,,9/22/2016 12:00:00 AM,,2016,,,,Y,Y,Y,,,,,5/7/2019 12:13:35 PM,7/16/2025 2:59:57 PM,-7078002.9234,5565067.5268
9894822e-fac9-4735-b2de-b774c1cf5bbc,10,TRFSDY9148,21SPD081,SPD,21SPD081.xlsx,https://files.halifax.ca/open-data/documents/traffic_studies/21SPD081.xlsx,KAYE ST,SKYRIDGE AVE,PRINCE ST,,,,12/2/2021 12:00:00 AM,12/8/2021 12:00:00 AM,2021,ATR,,,,,,6 DAYS,50,,1063,5/18/2022 6:31:30 PM,7/11/2025 12:38:08 PM,-7087977.7955,5584395.7223
